,log2FC,x_mean,y_mean,pval,padj,genes
GZMF,1.6059296131134033,1.9690722,0.506612,2.024758858108857e-174,3.057385875744374e-172,GZMF
DES,1.479649305343628,1.0546632,0.24417955,3.1234930055183978e-58,4.7164744383327805e-56,DES
ACTA1,1.344683051109314,3.5619755,1.2758428,6.118160286615218e-115,9.238422032788978e-113,ACTA1
CRYAB,1.213762640953064,0.8571086,0.25069845,2.7988724700396077e-32,4.2262974297598076e-30,CRYAB
SLN,1.157692313194275,0.3469192,0.040230956,4.080417740979664e-37,6.161430788879293e-35,SLN
MUSTN1,1.1566969156265259,0.47111005,0.09610728,6.340474626868682e-46,9.57411668657171e-44,MUSTN1
GZMG,1.1493494510650635,1.0163031,0.34345317,2.204289161364407e-80,3.3284766336602543e-78,GZMG
GZMD,1.1375786066055298,1.6312635,0.6274912,1.5585071725219426e-105,2.3533458305081334e-103,GZMD
CCL21A,1.068608283996582,0.23159914,0.0011175266,6.227129412382331e-41,9.40296541269732e-39,CCL21A
MYLPF,0.9732979536056519,1.0503477,0.43248278,9.644190721646912e-59,1.4562727989686838e-56,MYLPF
GZME,0.951020359992981,0.64253175,0.23151425,1.4386118161304929e-80,2.1723038423570444e-78,GZME
CSRP3,0.9320034980773926,0.24190842,0.027379401,2.507854383943504e-43,3.7868601197546914e-41,CSRP3
PDLIM3,0.8193934559822083,0.23303764,0.041534737,2.175777696439693e-38,3.2854243216239366e-36,PDLIM3
TNNT3,0.8073240518569946,0.89426994,0.42149377,8.846645004197329e-49,1.3358433956337967e-46,TNNT3
MYL1,0.7910915613174438,0.6801726,0.3048985,3.0280012685207184e-49,4.572281915466285e-47,MYL1
ACTN3,0.7703463435173035,0.2716375,0.07282548,7.082417451512454e-37,1.0694450351783805e-34,ACTN3
TCAP,0.7455248832702637,0.22440661,0.049543675,7.76532007637626e-34,1.1725633315328153e-31,TCAP
MMP12,0.7249746322631836,0.88539916,0.453157,8.163486929436384e-43,1.2326865263448939e-40,MMP12
GM4841,0.7201316356658936,0.4027811,0.16241385,1.428670578208042e-51,2.1572925730941433e-49,GM4841
HSPB7,0.7091597318649292,0.15272117,0.012292792,3.085950113851805e-33,4.659784671916226e-31,HSPB7
FHL1,0.707346498966217,0.39343083,0.15999255,9.031738518423232e-30,1.363792516281908e-27,FHL1
GZMC,0.7056196928024292,3.6140015,2.1352208,9.601294081454797e-54,1.4497954062996742e-51,GZMC
XIRP2,0.6792364120483398,0.18436825,0.03669212,3.074020778232251e-35,4.6417713751306994e-33,XIRP2
MMP13,0.6700630187988281,0.541357,0.26261875,8.183581000427374e-61,1.2357207310645335e-58,MMP13
MYH4,0.6633251905441284,0.9381443,0.515366,9.381774437926806e-33,1.4166479401269476e-30,MYH4
FABP5,0.6547524929046631,5.4986815,3.4164648,1.386196995189329e-143,2.093157462735887e-141,FABP5
IL18BP,0.6523517370223999,1.7906977,1.0633265,1.370997918908832e-78,2.070206857552336e-76,IL18BP
MYL4,0.6446682810783386,0.15176217,0.021791767,3.2234489795520203e-31,4.8674079591235507e-29,MYL4
ATP2A1,0.6369194984436035,0.454807,0.21791768,3.0379760716165853e-34,4.5873438681410436e-32,ATP2A1
ARG1,0.6308528780937195,2.0302086,1.2371019,8.131583831028629e-102,1.227869158485323e-99,ARG1
GZMA,0.6288558840751648,0.85662913,0.4801639,1.428646634227817e-42,2.1572564176840036e-40,GZMA
MYH1,0.6225732564926147,0.33181491,0.14229839,9.182912722705689e-30,1.386619821128559e-27,MYH1
S100A8,0.6086935997009277,0.5521458,0.29018438,5.023104959367169e-41,7.584888488644426e-39,S100A8
NRAP,0.6027419567108154,0.15415968,0.030173216,8.28327199778104e-34,1.250774071664937e-31,NRAP
PRF1,0.5830740332603455,0.64756656,0.3628236,3.5255781265208236e-53,5.323622971046444e-51,PRF1
IL7R,0.5756209492683411,0.42220092,0.2145651,1.0825037680417174e-54,1.6345806897429933e-52,IL7R
TNNC2,0.5697765946388245,0.637497,0.36133358,5.309993828352237e-43,8.018090680811877e-41,TNNC2
MYBPH,0.5676975846290588,0.11508032,0.00968523,1.0393646979019174e-29,1.5694406938318953e-27,MYBPH
MB,0.5654424428939819,0.18292975,0.055876326,4.607451276958198e-26,6.95725142820688e-24,MB
PF4,0.5637615919113159,3.9266362,2.5889366,2.1310324752226482e-17,3.2178590375861988e-15,PF4
GBP4,0.5526214838027954,1.25965,0.79232633,1.2361779154146204e-61,1.866628652276077e-59,GBP4
MCPT4,0.5418851375579834,0.2934548,0.13615198,1.1130796769029916e-34,1.6807503121235174e-32,MCPT4
CMA1,0.537004828453064,0.34715897,0.17433414,1.9687435996918175e-38,2.9728028355346443e-36,CMA1
TNNI2,0.5160646438598633,0.57300407,0.33786553,1.781915033893943e-38,2.6906917011798537e-36,TNNI2
GZMB,0.5141956210136414,1.3521937,0.88414973,8.659749581312644e-59,1.3076221867782092e-56,GZMB
AW112010,0.5078754425048828,6.799329,4.719687,1.746255191082804e-80,2.6368453385350338e-78,AW112010
LY6I,0.5044438242912292,0.6267082,0.38014528,8.429597293808451e-36,1.272869191365076e-33,LY6I
S100A9,0.5023554563522339,0.5914649,0.35611847,1.6690661893111962e-33,2.5202899458599064e-31,S100A9
