,organ,samp,time,genotype,gender
12DarkATG7KOfemale1911-24-Liver,Liver,24,Dark,KO,female
12DarkATG7KOfemale1914-27-Liver,Liver,27,Dark,KO,female
12DarkATG7KOmale1935-36-Liver,Liver,36,Dark,KO,male
12DarkATG7WTmale1981-42-Liver,Liver,42,Dark,WT,male
12DarkATG7WTmale1983-32-Liver,Liver,32,Dark,WT,male
12LightATG7KOfemale1390-20-Liver,Liver,20,Light,KO,female
12LightATG7KOfemale1392-8-Liver,Liver,8,Light,KO,female
12LightATG7WTfemale2024-2-Liver,Liver,2,Light,WT,female
2DarkATG7KO1904-51-Liver,Liver,51,Dark,KO,male
2DarkATG7KO2581-56-Liver,Liver,56,Dark,KO,male
2DarkATG7KO2585-59-Liver,Liver,59,Dark,KO,male
2DarkATG7WT2003-30-Liver,Liver,30,Dark,WT,male
2DarkATG7WT2005-41-Liver,Liver,41,Dark,WT,male
2DarkATG7WT2021-70-Liver,Liver,70,Dark,WT,male
2DarkATG7WT2023-14-Liver,Liver,14,Dark,WT,male
2LightATG7KO1896-22-Liver,Liver,22,Light,KO,male
2LightATG7KO1944-10-Liver,Liver,10,Light,KO,male
2LightATG7KO1946-17-Liver,Liver,17,Light,KO,male
2LightATG7KO1949-4-Liver,Liver,4,Light,KO,male
2LightATG7WT1990-32-Liver,Liver,32,Light,WT,male
2LightATG7WT1991-62-Liver,Liver,62,Light,WT,male
6DarkATG7KO1936-108-Liver,Liver,108,Dark,KO,male
6DarkATG7KO1950-113-Liver,Liver,113,Dark,KO,male
6DarkATG7WT2013-90-Liver,Liver,90,Dark,WT,male
6DarkATG7WT2015-93-Liver,Liver,93,Dark,WT,male
6DarkATG7WT2033-102-Liver,Liver,102,Dark,WT,male
6DarkATG7WT2046-100-Liver,Liver,100,Dark,WT,male
6LightATG7KO1921-122-Liver,Liver,122,Light,KO,male
6LightATG7KO1922-136-Liver,Liver,136,Light,KO,male
6LightATG7KO1956-133-Liver,Liver,133,Light,KO,male
6LightATG7WT1975-86-Liver,Liver,86,Light,WT,male
6LightATG7WT1977-144-Liver,Liver,144,Light,WT,male
6LightATG7WT2040-128-Liver,Liver,128,Light,WT,male
6LightATG7WT2041-77-Liver,Liver,77,Light,WT,male
